numero_telefon	nom	cognom1	cognom2	data_naixament	correu_electronic
626513444	Ursa	Castaneda	Norris	1953-07-08	ucastaneda@gencat.edu
681165448	Odysseus	Cook	Sellers	1980-12-28	cookodysseus6586@educacio.eu
650321936	Vincent	Chandler	Booth	1992-06-18	v.chandler@bcn.com
628793923	Mallory	Todd	Landry	1995-02-27	mallory_todd9515@govern.eu
693143413	Serina	Pitts	Ramos	1951-01-12	serina.pitts@google.cat
627847424	Katelyn	Bates	Castaneda	1964-06-23	bateskatelyn1870@institut.com
659650642	Rudyard	Moses	Barber	2001-07-02	r.moses5377@gencat.edu
604301528	Joan	Cooper	Hodge	1949-08-14	joan-cooper7760@institut.edu
678548610	Eve	Camacho	Nolan	1946-04-10	eve.camacho5908@google.eu
624839554	Xander	Ware	Bowman	1962-11-18	x-ware@educacio.cat
663238654	Brenden	Estes	Young	1997-09-23	brenden.estes@bcn.eu
655058360	Rosalyn	Solomon	Dickerson	1996-02-14	rosalyn_solomon7433@gencat.cat
666968360	Nomlanga	Warner	Osborn	1968-06-19	w.nomlanga@gencat.eu
685845574	Nina	Cardenas	Watkins	1959-06-16	cardenas-nina@govern.cat
653592416	Arden	Keller	Cote	1983-08-23	kellerarden1104@gencat.cat
602243415	Kelsie	Wilkinson	Pollard	1953-07-06	kwilkinson@gencat.edu
625367816	Chiquita	Holcomb	Mooney	1981-03-12	chiquita-holcomb@google.edu
614258565	Elaine	Hays	Lloyd	1959-08-06	e-hays1343@govern.com
611447758	Dean	Gay	Gonzales	1987-09-22	deangay@google.com
680196477	Deacon	Gillespie	Mejia	1985-06-19	d.gillespie@gencat.eu
663446271	Uta	Estes	Slater	1995-10-25	estes-uta9938@institut.eu
664688737	Maia	Brown	Berg	1976-07-18	brownmaia@google.com
651658826	Jin	Spence	Gilmore	2001-12-22	j-spence@govern.com
655263614	Stewart	Pate	Suarez	1964-01-19	s_pate@educacio.cat
685730577	Kristen	Petty	Lindsay	1954-02-14	k.petty@govern.eu
611692135	Sydney	Abbott	Reeves	1956-12-19	sydneyabbott5037@bcn.edu
666128601	Chaney	Stuart	Frederick	1952-08-13	chaneystuart4217@institut.cat
635634466	Rooney	Hampton	Mathis	1947-01-23	hampton-rooney@gencat.eu
686464712	Damian	Mcneil	Mejia	1949-05-27	d.mcneil@gencat.cat
637564004	Hermione	Gamble	Weaver	1975-06-15	gamble_hermione@institut.com
638343415	Magee	Guy	Maddox	1950-09-01	guy-magee6049@bcn.edu
653577646	Nissim	Little	Avila	1961-05-09	nissim-little@govern.eu
656642921	Hannah	Briggs	Fox	1960-07-15	hbriggs@bcn.eu
663248872	Alfreda	Conley	Bowers	1967-06-25	a-conley@gencat.edu
662846559	Leslie	King	Williams	1965-12-13	kingleslie@educacio.eu
640110588	Troy	Long	Shields	1963-04-18	t-long8775@institut.eu
675482626	Barry	Burt	Snow	1977-05-12	burtbarry@google.com
682556585	Brock	Sparks	Welch	1977-12-15	bsparks@gencat.eu
631449549	Freya	Leonard	Webster	1958-04-16	f.leonard8034@google.cat
644418518	Seth	Jensen	Watts	1940-10-27	jensenseth1003@institut.edu
654654809	Christopher	Kinney	Preston	1971-07-15	kinney-christopher@google.eu
604283806	Catherine	Keller	Cole	1951-09-09	catherinekeller@gencat.com
639415563	Patricia	Potter	Wells	1960-08-17	p.potter@institut.cat
630858271	Britanni	Garner	Doyle	1940-07-20	b-garner@govern.com
609452732	Laith	Garza	Buck	1943-06-08	garza-laith3915@educacio.edu
666630379	Quentin	Nieves	Keith	1988-10-24	qnieves@govern.com
672132218	Neville	Santana	Gregory	1975-03-28	n-santana2720@bcn.edu
682878716	Josiah	Delacruz	Townsend	1967-06-14	d-josiah@bcn.edu
637330562	Griffin	Duran	Mcgee	1991-08-08	g_duran@gencat.com
671923582	Sandra	Tyson	Sutton	1977-02-18	tyson.sandra@gencat.com
671557924	Oren	Carrillo	Woods	1966-01-14	carrillooren6980@institut.com
644492334	Thor	Hatfield	Kidd	1978-11-24	thatfield@google.eu
647356630	Akeem	Cross	Atkins	1994-01-11	a-cross@govern.com
645926355	Tanner	Mccall	Bowers	1958-03-24	m-tanner2053@institut.cat
640179187	Cheryl	Molina	Mcdowell	1976-12-28	molina.cheryl1585@educacio.eu
686527062	Len	Buckner	Evans	1959-04-09	b.len@google.edu
685297219	Montana	Albert	Fuentes	1956-11-10	albert-montana9708@govern.cat
612749328	Macaulay	Best	Gaines	1987-01-20	best.macaulay@institut.cat
632644156	Ginger	Crosby	Campos	1952-01-13	c.ginger@govern.edu
688178222	Britanni	Noel	Ray	1944-02-05	b-noel@institut.com
629233990	Anastasia	Hatfield	Byrd	1967-12-05	h-anastasia558@gencat.com
683371033	Blythe	Vang	Payne	1954-07-23	b.vang6974@google.com
665619696	Amaya	Meyer	Sherman	1941-11-11	meyer_amaya4308@bcn.cat
669256744	Raya	Sykes	Morrison	1995-08-11	sykes-raya4684@gencat.edu
686597644	Fatima	Marsh	Simmons	1962-03-15	marsh.fatima3694@institut.cat
612175489	Latifah	Conner	Clayton	1974-07-24	conner.latifah@educacio.com
620973593	Ocean	Nieves	Jennings	1983-04-14	n-ocean@educacio.cat
676667713	Irma	Kennedy	Velez	1971-03-06	k_irma394@institut.cat
698180458	Neville	Benson	Kline	1983-12-27	n_benson689@educacio.cat
646565469	Whoopi	O'Neill	Sweet	1982-01-20	oneillwhoopi9749@google.cat
667357476	Kerry	Daugherty	Gallagher	1972-04-24	k-daugherty2237@bcn.edu
